                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.495,                 7.0641,                 2.8776,                0.00036,                0.15292,                 0.0009,                0.00036,                 3.3639,                 35.786,                  2.874,             0.00014383,             0.00014383,             0.00014383
                      2,                  3.133,                 5.9679,                 2.4409,                0.00018,                0.09515,                 0.0004,                0.00015,                 3.3896,                 18.877,                 2.9037,               0.000265,               0.000265,               0.000265
                      3,                 2.9779,                 5.9706,                 2.4631,                0.00032,                0.13088,                0.00075,                0.00031,                 3.2214,                 9.5762,                 2.8849,             0.00036225,             0.00036225,             0.00036225
                      4,                   2.85,                 5.0265,                 2.3984,                0.00031,                 0.1041,                0.00047,                0.00015,                 3.1256,                 7.6728,                 2.8179,             0.00032734,             0.00032734,             0.00032734
                      5,                 2.7845,                 4.7729,                 2.3524,                0.00034,                0.15533,                0.00061,                0.00021,                 3.0955,                 9.5402,                 2.8151,             0.00032734,             0.00032734,             0.00032734
                      6,                 2.7165,                 4.6497,                 2.3223,                0.00045,                0.11009,                0.00044,                0.00017,                 3.1146,                 7.7518,                 2.9138,             0.00029145,             0.00029145,             0.00029145
                      7,                 2.6585,                 4.5901,                 2.2928,                0.00051,                0.09792,                0.00051,                0.00024,                 3.1322,                 7.7607,                 2.9125,             0.00025556,             0.00025556,             0.00025556
                      8,                 2.6395,                 4.5625,                 2.2767,                0.00057,                0.17521,                0.00096,                0.00036,                 3.1291,                 8.3977,                 2.9565,             0.00021968,             0.00021968,             0.00021968
                      9,                 2.6227,                 4.5302,                 2.2695,                0.00061,                0.14208,                0.00088,                0.00037,                 3.0877,                 9.4196,                 2.7889,             0.00018379,             0.00018379,             0.00018379
                     10,                 2.5906,                 4.5132,                  2.252,                0.00062,                0.17082,                0.00095,                0.00039,                 3.0719,                 8.7171,                 2.8835,              0.0001479,              0.0001479,              0.0001479
                     11,                 2.5614,                 4.4891,                 2.2316,                0.00052,                0.17925,                0.00112,                0.00047,                 3.0749,                 9.3849,                 2.8671,             0.00011201,             0.00011201,             0.00011201
                     12,                 2.5539,                  4.485,                 2.2247,                0.00053,                0.18468,                0.00086,                0.00034,                 3.0691,                 9.3674,                 2.9098,             7.6125e-05,             7.6125e-05,             7.6125e-05
